Эмитент,Дата начала размещения,Статус,"Состояние бумаги, eng.",Ломбардный список БР,Isin,Код НРД,Гос. рег. номер,"Номер гос. рег., НРД",Наименование,CFI,Страна заемщика,Сектор заемщика,Страна эмиссии,Страна эмитента,Регион эмитента,Сектор эмитента,Эмитент: реестр МСП,Страна риска,"Дюрация, лет","Дюрация модиф., лет",Дата ближ. возм. погаш.,Дата погашения,Дата ближ. оферты,Дата окончания размещения,Дата регистрации,Дата гос. рег-ции/присвоения,Срок обращения,Дата начала 1-го купона,Дата ближ. купона,Дата ближ. объявления неизв. купона,"Доходность эффект., %","Доходность средневзв., %","НКД, в вал. ном.",Z-спред,Номинал,"Цена, %","Объем эмиссии, шт.","Заявл. объем эмиссии, в вал. ном.","Объем в обращении, в вал. ном",Дневной оборот на МБ,Средний дневной оборот за мес.,Объем торгов,Объем торгов за 2 дня,Объем торгов за 5 дней,Объем торгов за 10 дней,Объем торгов за месяц,Кол-во сделок,Кол-во сделок за 2 дня,Кол-во сделок за 5 дней,Кол-во сделок за 10 дней,Кол-во сделок за месяц,Кол-во дней со сделками за 2 дня,Кол-во дней со сделками за 5 дней,Кол-во дней со сделками за 10 дней,Кол-во дней со сделками за месяц,Тип купона,"Ставка купона, %",Кол-во купонов в год,Валюта номинала,Тип облигации,Вид облигации,Для неквал. инвесторов,"Форма выпуска, eng",Способ размещения,Тип по классиф. БР,Вид залога,Структурированность,Субординированность,Гос. гарантия,Индексируемость номинала,Амортизируемость,Конвертация,Вид обеспечения,Старшинство секьюритизации,Закрытая подписка,"Тип бумаги (МСП, Корп., Гос.)",Сектор повышенного инвест. риска,Сектор роста,Класс эмитента по выручке,Рейтинг агрег. Эксперт РА,Рейтинг эмиссии Эксперт РА,Рейтинг агрег. АКРА,Рейтинг эмиссии АКРА,target,not_isin,cnt_bonds,fininstId,inn,ogrn,Encumbrance
Ника,2022-08-02,В обращении,In placement,0.0,RU000A1050X7,RU000A1050X7,4B02-01-00636-R-001P,4B02-01-00636-R-001P,Ника-001P-01,DBFUFB,RU,Пищевая промышленность и с/х,RU,RU,Московская область,Пищевая промышленность и с/х,,RU,1.4466,1.2321,2025-07-29,2025-07-29,,2023-07-28,2022-02-18,2022-02-18,Краткосрочные,,2023-05-02,,17.4069,17.3908,17.26,0.0,1000.0,98.91,300000,300000000.0,121771000.0,2197302.0,1369716.0,2197301.6,4095591.4,14084093.7,20090997.3,26024620.9,144.0,341.0,995.0,1689.0,2461.0,2.0,5.0,10.0,19.0,Фиксированный,18.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,,,,,0,0,1,15126,5030085811,1155030001543,1
Новая Эра ООО,2009-09-04,В обращении,,,,,4-01-28056-R,,Новая Эра ООО-1-об,,RU,Технологии,RU,RU,Республика Татарстан,Технологии,,RU,,,2034-09-04,2034-09-04,,2009-09-23,2009-09-03,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,0,1,1,31327,1644055970,1091644002438,0
Новая волна,2009-09-04,В обращении,,,,,4-01-28050-R,,Новая волна-1-об,,RU,Технологии,RU,RU,Республика Татарстан,Технологии,,RU,,,2034-09-04,2034-09-04,,2009-09-23,2009-09-03,,Долгосрочные,,,,,,,,1.0,,510,510.0,510.0,,,,,,,,,,,,,,,,,Дисконт,0.0,,RUB,Корп,Классические,"Да, после тестирования",,,,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,НЕТ,НЕТ,,,,,,0,1,1,31317,1644056043,1091644002361,0
НоваяКонцессионКомп,2022-08-31,В обращении,Placed,0.0,RU000A105591,RU000A105591,4-13-15630-A,4-13-15630-A,НоваяКонцессионКомп-АА1,DBFSFB,RU,Строительство,RU,RU,г.Москва,Строительство,,RU,,,2052-08-31,2052-08-31,,2022-09-12,2022-08-11,2022-08-11,Долгосрочные,,2023-08-31,,,,,,1000.0,,55000000,55000000000.0,52000000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Фиксированный,1.4,1.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,Прочие активы,Концессионные,,НЕТ,ДА,0,0,Залог,Старший обеспеченный,1,C,НЕТ,НЕТ,,ruA-,,,,0,0,3,26794,7726730225,1137746873406,1
Новосибирск Мэрия,2019-10-10,В обращении,Placed,0.0,RU000A100WF7,RU000A100WF7,RU35010NSB1,RU35010NSB1,Новосибирск-35010-об,DNFXFB,RU,Государственные,RU,RU,Новосибирская область,Государственные,,RU,1.9726,1.8105,2026-10-08,2026-10-08,,2019-10-10,2019-09-18,2019-09-18,Среднесрочные,,2023-04-24,,8.9544,8.9938,7.04,0.4677,1000.0,97.35,5000000,5000000000.0,4000000000.0,256034.0,23676.0,256034.4,320972.24,366788.32,375407.2,449856.96,8.0,54.0,72.0,76.0,96.0,2.0,4.0,7.0,12.0,Постоянный,7.3,4.0,RUB,Муни,Классические,"Да, после тестирования",bearer,Подписка открытая,Облигации органов исполнительной власти субъектов Российской Федерации и муниципальных образований,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,G,НЕТ,НЕТ,,ruA-,ruA-,,,0,0,3,21395,5406285846,1045402490100,0
Новосибирскхлебопродукт,2020-08-06,В обращении,Placed,0.0,RU000A102036,RU000A102036,4B02-01-29423-N-001P,4B02-01-29423-N-001P,НовосибХлебопродукт-П01,DBVUFB,RU,Пищевая промышленность и с/х,RU,RU,Новосибирская область,Пищевая промышленность и с/х,,RU,1.2603,1.1777,2024-07-16,2024-07-16,,2020-08-06,2020-08-03,2020-08-03,Среднесрочные,,2023-03-24,2024-06-05 00:00:00,19.3488,10.956,29.59,,10000.0,99.0,7000,70000000.0,70000000.0,9900.0,536.0,0.0,0.0,0.0,10200.0,10200.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Плавающий,12.0,12.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Средний,,,,,0,0,1,19485,5404425294,1105476084450,1
Новотранс ХК,2022-11-01,В обращении,Placed,0.0,RU000A105CM4,RU000A105CM4,4B02-03-12414-F-001P,4B02-03-12414-F-001P,Новотранс ХК-001Р-03,DBFUFB,RU,Транспорт,RU,RU,г.Москва,Транспорт,,RU,3.0548,2.7203,2027-10-26,2027-10-26,,2022-11-01,2022-09-21,2022-09-21,Среднесрочные,,2023-05-02,,12.2966,12.2966,11.22,0.0,1000.0,99.79,18500000,18500000000.0,18500000000.0,15593915.0,15538710.0,23795420.2,56235992.9,120064747.9,188375646.4,295235508.7,343.0,811.0,1922.0,4046.0,7810.0,2.0,5.0,10.0,19.0,Постоянный,11.7,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,C,НЕТ,НЕТ,Крупный,ruA+,ruA+,,,0,0,3,31908,4205119220,1064205128745,1
Новые Технологии ООО,2022-11-08,В обращении,Placed,0.0,RU000A105DL4,RU000A105DL4,4B02-01-00069-L,4B02-01-00069-L,Новые технологии-БО-01,DBVUFB,RU,Машиностроение,RU,RU,Республика Татарстан,Машиностроение,,RU,2.2356,1.9706,2025-11-04,2027-11-02,2025-11-06,2022-11-11,2021-12-20,2021-12-20,Среднесрочные,,2023-05-10,,13.4487,13.4439,44.01,0.0,1000.0,101.0,1000000,1000000000.0,800000000.0,1315202.0,801771.0,1315202.0,1627297.8,2963531.8,4396642.6,15233652.7,43.0,69.0,209.0,373.0,997.0,2.0,5.0,10.0,19.0,Переменный,13.5,2.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,'ruBBB+,,,,0,0,1,17008,1652009537,1031652403122,1
Ноймарк,2021-03-19,В обращении,Placed,0.0,RU000A102VG3,RU000A102VG3,4CDE-04-00404-R-001P,4CDE-04-00404-R-001P,Ноймарк-КО-П04,DBFUFB,RU,Недвижимость,RU,RU,г.Москва,Недвижимость,Микропредприятие,RU,,,2023-03-17,2023-03-17,,2021-07-20,2021-02-26,2021-02-26,Краткосрочные,,2023-03-17,,,,,,1000.0,,100000,100000000.0,100000000.0,,,,,,,,,,,,,,,,,Постоянный,15.0,4.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Микро,,,,,0,0,2,24890,7709556841,1047796527294,1
О1 Груп Финанс,2017-08-02,В обращении,Placed,0.0,RU000A0JXY10,RU000A0JXY10,4B02-04-00326-R-001P,4B02-04-00326-R-001P,О1 Груп Финанс-001Р-04,DBVGFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,13.0,,2020-01-29,2032-07-14,2032-07-14,2017-08-15,2017-08-01,2017-08-01,Долгосрочные,,2032-07-14,,,,,,1000.0,,25000000,25000000000.0,25000000000.0,,,,,,,,,,,,,,,,,Плавающий,9.85,1.0,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,0,C,НЕТ,НЕТ,,,,,,0,0,5,27533,7702675342,1087746689030,0
О1 Пропертиз Финанс,2017-05-23,В обращении,Placed,0.0,RU000A0JXRB9,RU000A0JXRB9,4B02-02-71827-H-001P,4B02-02-71827-H-001P,О1 Пропертиз Фин-П02-боб,DBFGFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,3.1288,,2024-05-14,2024-05-14,,2017-05-25,2017-05-12,2017-05-12,Среднесрочные,,2023-05-16,,,,,0.0,1000.0,,150000,150000000.0,150000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Плавающий,4.337,2.0,USD,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,0,M,НЕТ,НЕТ,,,,,,0,0,3,29162,7722696870,1097746593394,0
ОАЭ,2019-05-20,В обращении,Placed,0.0,RU000A100CG7,RU000A100CG7,4B02-03-00320-R-001P,4B02-03-00320-R-001P,ОАЭ-БО-П03,DBFUFB,RU,Пищевая промышленность и с/х,RU,RU,Красноярский край,Пищевая промышленность и с/х,Среднее предприятие,RU,0.663,0.5919,2024-05-22,2024-05-22,,2019-07-19,2019-05-14,2019-05-14,Среднесрочные,,2023-03-15,,12.0156,12.2802,6.77,0.0,1000.0,101.56,400000,400000000.0,312500000.0,383426.0,1077606.0,383426.21,974713.25,4818284.86,8174579.22,20474523.98,79.0,198.0,712.0,1338.0,3291.0,2.0,5.0,10.0,19.0,Постоянный,13.75,12.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,ДА,НЕТ,Средний,,,,,0,0,1,25111,2435005713,1072411000969,1
ОВК Финанс,2014-09-16,Дефолт,Placed,0.0,RU000A0JUU25,RU000A0JUU25,4B02-01-36430-R,4B02-01-36430-R,ОВК Финанс-1-боб,DBVUFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,1.3288,0.5399,2024-09-03,2024-09-03,2024-09-03,2014-09-16,2014-08-06,2014-08-06,Долгосрочные,,2023-06-06,,146.0918,146.0918,0.0,0.0,1000.0,33.0,15000000,15000000000.0,11250000000.0,742.0,396.0,742.5,997.5,1983.75,6754.05,7526.48,1.0,2.0,4.0,11.0,13.0,2.0,3.0,4.0,5.0,Плавающий,9.55,4.0,RUB,Корп,Биржевые,Нет,bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Оферта,416,0,M,НЕТ,НЕТ,Средний,,,,,1,0,2,29397,7805233787,1027802757806,0
ОДК,2016-06-10,В обращении,Placed,1.0,RU000A0JWK74,RU000A0JWK74,4-01-14045-A,4-01-14045-A,ОДК-1-об,DBFTFB,RU,Прочие,RU,RU,г.Москва,Прочие,,RU,2.7781,2.5413,2026-06-10,2026-06-10,,2016-06-10,2016-01-11,2016-01-11,Долгосрочные,,2023-06-02,,9.3159,9.3526,27.98,0.5849,1000.0,104.51,6642000,6642000000.0,6642000000.0,5221.0,26150.0,5220.6,50434.7,129368.7,171657.2,496853.7,5.0,28.0,42.0,60.0,113.0,2.0,5.0,10.0,19.0,Постоянный,10.75,2.0,RUB,Корп,Классические,Да,bearer,Подписка открытая,Облигации прочих резидентов,,,,ДА,НЕТ,0,0,Гарантия,416,0,C,НЕТ,НЕТ,Крупный,,,AA-(RU),,0,0,3,29723,7731644035,1107746081717,0
ОР ООО,2021-12-17,Дефолт,Placed,0.0,RU000A104A13,RU000A104A13,4B02-04-00412-R-002P,4B02-04-00412-R-002P,ОРГрупп-002P-04,DBFGFB,RU,Лёгкая промышленность,RU,RU,г.Москва,Лёгкая промышленность,,RU,1.3342,0.4557,2023-02-14,2025-11-26,2025-11-26,2021-12-24,2021-12-13,2021-12-13,Среднесрочные,,2023-03-13,,192.8184,184.2801,9.59,0.0,1000.0,16.44,100000,100000000.0,100000000.0,3602.0,12814.0,3602.0,4978.0,62110.1,113396.5,243469.8,14.0,18.0,74.0,174.0,322.0,2.0,5.0,10.0,19.0,Фиксированный,14.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,0,M,НЕТ,НЕТ,Средний,,,,,1,0,9,28606,5407249872,1035403195761,0
ОбъединКондитерыФинанс,2013-04-15,В обращении,Placed,0.0,RU000A0JTV50,RU000A0JTV50,4B02-01-36190-R,4B02-01-36190-R,ОбъединКондитерФин-1-боб,DBVXFB,RU,Пищевая промышленность и с/х,RU,RU,г.Москва,Пищевая промышленность и с/х,,RU,0.074,,2021-04-05,2023-04-03,,2013-04-15,2013-04-05,2013-04-05,Долгосрочные,,2023-04-03,,3.8255,,,0.0,1000.0,,1700000,1700000000.0,1700000000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Переменный,7.0,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,НЕТ,,,,,,0,0,1,23481,7705717209,1067746324128,0
Онлайн Микрофинанс,2021-05-20,В обращении,Placed,0.0,RU000A103406,RU000A103406,4-01-00459-R,4-01-00459-R,Онлайн Микрофинанс-01-об,DBFGFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,Микропредприятие,RU,1.074,0.9121,2024-05-04,2024-05-04,,2021-05-24,2020-10-19,2020-10-19,Краткосрочные,,2023-03-13,,17.7424,17.7764,8.9,0.0,1000.0,95.85,500000,500000000.0,500000000.0,1935632.0,2486519.0,1935631.7,2778175.4,7115643.1,25499900.9,47243864.6,64.0,110.0,268.0,701.0,1490.0,2.0,5.0,10.0,19.0,Постоянный,12.5,12.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Поручительство,416,1,M,ДА,НЕТ,Малый,'ruBBB-,,,,0,0,3,23184,7704841080,1137746674284,0
Оптик Файбер,2019-06-11,В обращении,Placed,0.0,RU000A100FK2,RU000A100FK2,4CDE-02-00369-R,4CDE-02-00369-R,Оптик Файбер-КО-02,DBVUFB,RU,Ритейл,RU,RU,г.Санкт-Петербург,Ритейл,Малое предприятие,RU,,,2024-06-04,2024-06-04,,2019-06-13,2019-05-27,2019-05-27,Среднесрочные,,2023-06-06,,,,,0.0,100000.0,,950,95000000.0,95000000.0,,,,,,,,,,,,,,,,,Переменный,14.0,2.0,RUB,Корп,Коммерческие,"Да, после тестирования",bearer,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,2,18682,7811748135,1207800072523,1
Открытие Брокер,2022-12-29,В обращении,Placed,0.0,RU000A105MM3,RU000A105MM3,6-10-01015-A,6-10-01015-A,Открытие Брокер-СО-11,DEXXXX,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,2.0329,1.6531,2025-12-25,2025-12-25,,2022-12-29,2022-10-17,2022-10-17,Краткосрочные,,2023-03-23,2025-12-24 00:00:00,35.3687,24.5573,0.0,,1000.0,102.0,1000000,1000000000.0,600120000.0,2020.0,45786.0,0.0,0.0,0.0,33920.0,869945.0,0.0,0.0,0.0,5.0,24.0,0.0,0.0,3.0,9.0,Прочий,0.0,4.0,RUB,Корп,Классические,Нет,Book-entry,Подписка закрытая,Структурные долговые ценные бумаги прочих резидентов,Прочие активы,Структурные,,НЕТ,НЕТ,0,0,Залог,Старший обеспеченный,1,C,НЕТ,НЕТ,Крупный,ruAA-,,,,0,0,9,14359,7710170659,1027739704772,0
Открытие Холдинг,2017-08-07,Дефолт,Placed,0.0,RU000A0JXYE9,RU000A0JXYE9,4B02-02-14406-A-001P,4B02-02-14406-A-001P,Открытие Холдинг-БО-П02,DBVUFB,RU,Финанс.сервисы,RU,RU,г.Москва,Финанс.сервисы,,RU,7.6082,,2029-07-23,2029-07-23,2029-07-23,2017-08-07,2017-07-18,2017-07-18,Долгосрочные,,2023-07-31,,,,,,1000.0,,5000000,5000000000.0,5000000000.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Переменный,0.01,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,,,,,1,0,15,22903,7708730590,1107746979196,0
Офир,2020-11-26,Дефолт,Placed,0.0,RU000A102EG9,RU000A102EG9,4CDE-04-00494-R-001P,4CDE-04-00494-R-001P,Офир-КО-П04,DBFUFB,RU,Ритейл,RU,RU,г.Москва,Ритейл,Микропредприятие,RU,,,2022-11-24,2022-11-24,,2020-12-17,2019-12-26,2019-12-26,Краткосрочные,,,,,,,,1000.0,,100000,100000000.0,100000000.0,,,,,,,,,,,,,,,,,Постоянный,0.0,4.0,RUB,Корп,Коммерческие,"Да, после тестирования",Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,1,M,НЕТ,НЕТ,Малый,,,,,1,0,1,22350,7720817110,1147746686119,0
Охта Групп,2021-11-16,В обращении,Placed,0.0,RU000A1040V2,RU000A1040V2,4B02-02-00551-R-001P,4B02-02-00551-R-001P,Охта Групп-БО-П02,DBFUFB,RU,Недвижимость,RU,RU,г.Санкт-Петербург,Недвижимость,Малое предприятие,RU,1.537,1.3573,2024-11-12,2024-11-12,,2022-05-16,2021-10-25,2021-10-25,Краткосрочные,,2023-05-16,,13.2371,13.0835,7.19,0.0,1000.0,99.8,1000000,1000000000.0,943746000.0,947101.0,926406.0,947101.1,1637116.0,3843166.3,8355018.5,17601719.1,56.0,92.0,194.0,350.0,846.0,2.0,5.0,10.0,19.0,Постоянный,12.5,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Микро,,,BB(RU),,0,0,2,18381,7806146216,1037816053505,1
ПЗ Пушкинское,2022-02-14,В обращении,In placement,0.0,RU000A104JF6,RU000A104JF6,4B02-01-00629-R,4B02-01-00629-R,ПЗ Пушкинское-БО-01,DBFGFB,RU,Пищевая промышленность и с/х,RU,RU,Нижегородская область,Пищевая промышленность и с/х,,RU,1.7863,1.5568,2026-02-09,2026-02-09,,2024-02-04,2022-01-14,2022-01-14,Среднесрочные,,2023-05-15,,14.7448,14.7448,8.44,0.0,1000.0,100.0,375000,375000000.0,116893000.0,702000.0,1486244.0,702000.0,977984.9,5783979.7,11615904.8,28238648.3,21.0,40.0,119.0,209.0,515.0,2.0,5.0,10.0,19.0,Постоянный,14.0,4.0,RUB,Корп,Биржевые,Нет,Book-entry,Подписка закрытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Поручительство,416,1,M,НЕТ,НЕТ,Малый,,,,,0,0,1,14728,5203000478,1135243000320,1
ПИК СЗ,2018-04-06,В обращении,Placed,1.0,RU000A0ZZ1M2,RU000A0ZZ1M2,4B02-04-01556-A-001P,4B02-04-01556-A-001P,ПИК СЗ-БО-ПО4,DBVUFB,RU,Строительство,RU,RU,г.Москва,Строительство,,RU,4.1178,3.8458,2028-03-24,2028-03-24,,2018-04-06,2018-04-04,2018-04-04,Долгосрочные,,2023-03-31,,8.2039,7.5652,34.41,0.0,1000.0,102.92,7000000,7000000000.0,7000000000.0,8190.0,15058.0,0.0,8189.8,50963.2,84457.2,286113.6,0.0,5.0,19.0,27.0,90.0,1.0,3.0,5.0,14.0,Плавающий,8.0,2.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruA+,,,,0,0,1,21443,7713011336,1027739137084,0
ПИК-Корпорация,2022-08-05,В обращении,Placed,0.0,RU000A105146,RU000A105146,4B02-05-00464-R-001P,4B02-05-00464-R-001P,ПИК-Корпорация-001Р-05,DBFUFB,RU,Строительство,RU,RU,г.Москва,Строительство,,RU,3.3205,3.0512,2026-11-19,2026-11-19,,2022-08-05,2022-07-27,2022-07-27,Среднесрочные,,2023-05-19,,8.8263,8.9455,1255.641088,0.0,1000.0,90.595,395000,395000000.0,395000000.0,371873.0,22231302.0,28233369.02,39576178.37,76203693.37,188038947.47,422394755.45,109.0,229.0,544.0,1537.0,3203.0,2.0,5.0,10.0,19.0,Постоянный,5.625,2.0,USD,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,Замещающие,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,Крупный,ruA+,ruA+,,,0,0,5,23069,7703255661,1027739093843,0
ПИМ,2021-10-20,В обращении,Placed,0.0,RU000A103WD6,RU000A103WD6,4B02-01-00532-R-001P,4B02-01-00532-R-001P,ПИМ-БО-01,DBFUFB,RU,Технологии,RU,RU,г.Москва,Технологии,Малое предприятие,RU,1.1397,0.9888,2024-10-16,2024-10-16,,2021-10-20,2021-10-11,2021-10-11,Краткосрочные,,2023-04-19,,15.2655,15.4071,17.1,0.0,1000.0,98.36,130000,130000000.0,130000000.0,343762.0,302264.0,343762.0,591082.6,1535778.8,3276850.2,5743025.9,58.0,106.0,258.0,543.0,1010.0,2.0,5.0,10.0,19.0,Постоянный,13.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,ДА,НЕТ,Средний,,,,,0,0,1,19721,7702824562,1137746951869,0
ПКБ,2021-12-10,В обращении,Placed,0.0,RU000A1047S3,RU000A1047S3,4B02-03-32831-F-001P,4B02-03-32831-F-001P,ПКБ-001Р-03,DBFUFB,RU,Прочие,RU,RU,г.Москва,Прочие,,RU,1.4384,1.2867,2025-12-05,2025-12-05,,2021-12-10,2021-12-03,2021-12-03,Среднесрочные,,2023-03-10,,11.7895,11.8865,29.53,3.7656,1000.0,101.37,1500000,1500000000.0,1500000000.0,57705.0,150605.0,57704.7,118349.8,309673.2,1066393.1,2861505.2,17.0,39.0,92.0,198.0,460.0,2.0,5.0,10.0,19.0,Постоянный,12.25,4.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,1,0,Необеспеченные,416,0,M,НЕТ,НЕТ,Средний,'ruBBB+,,,,0,0,3,27838,2723115222,1092723000446,0
ПКТ,2016-03-30,В обращении,Placed,1.0,RU000A0JWBP5,RU000A0JWBP5,4-03-03924-J,4-03-03924-J,ПКТ-3-об,DBVUFB,RU,Транспорт,RU,RU,г.Санкт-Петербург,Транспорт,,RU,2.6986,2.4451,2021-03-24,2026-03-18,,2016-03-30,2015-12-03,2015-12-03,Долгосрочные,,2023-03-22,,10.3668,10.3668,29.74,1.6682,1000.0,90.76,5000000,5000000000.0,5000000000.0,27228.0,9360.0,27228.0,29033.6,68695.0,85912.4,177857.0,2.0,4.0,8.0,13.0,34.0,2.0,4.0,7.0,12.0,Переменный,6.5,2.0,RUB,Корп,Классические,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Оферта,416,0,C,НЕТ,НЕТ,,ruAA-,ruAA-,,,0,0,3,31865,7805113497,1027802712343,1
ПНППК,2019-09-10,В обращении,Placed,0.0,RU000A100TB2,RU000A100TB2,4B02-01-11698-E-001P,4B02-01-11698-E-001P,ПНППК-001Р-01,DBVUFB,RU,Технологии,RU,RU,Пермский край,Технологии,,RU,2.1753,1.9395,2025-09-02,2029-08-28,2025-09-05,2019-09-10,2019-09-03,2019-09-03,Долгосрочные,,2023-06-06,,12.1615,12.6005,0.0,0.0,1000.0,102.9,250000,250000000.0,250000000.0,128559.0,35940.0,128558.6,181591.5,418097.8,467748.3,682878.6,17.0,23.0,46.0,53.0,94.0,2.0,5.0,8.0,15.0,Переменный,13.0,4.0,RUB,Корп,Биржевые,"Да, после тестирования",bearer,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,C,НЕТ,НЕТ,,,,,,0,0,1,22668,5904000395,1025900906349,1
ПР-Лизинг,2020-08-27,В обращении,Placed,0.0,RU000A1022E6,RU000A1022E6,4B02-01-00371-R-002P,4B02-01-00371-R-002P,ПР-Лизинг-002P-01,DBVUFB,RU,Фин.сервис - Лизинг,RU,RU,Республика Башкортостан,Фин.сервис - Лизинг,,RU,1.3014,1.1549,2025-02-02,2029-08-10,2024-08-06,2020-10-16,2020-08-14,2020-08-14,Долгосрочные,,2023-03-15,,12.6786,12.6356,7.23,0.0,1000.0,100.0,1750000,1750000000.0,1750000000.0,296144.0,1254557.0,296144.1,1093157.7,3180563.2,11828699.5,23836598.1,28.0,97.0,221.0,436.0,1090.0,2.0,5.0,10.0,19.0,Переменный,12.0,12.0,RUB,Корп,Биржевые,"Да, после тестирования",Book-entry,Подписка открытая,Облигации прочих резидентов,,,,НЕТ,НЕТ,0,0,Необеспеченные,416,0,M,НЕТ,ДА,Средний,,,BBB+(RU),BBB+(RU),0,0,2,25205,0278181110,1110280040617,0
